customer_id,customer_geohash,order_id,vendor_id,day_of_week,order_time,order_day,chain_id,vendor_geohash,cuisine_origin,avg_vendor_rating,num_products,total_order_value,products_ordered
0228eead3d,w21zt,2819,f799b57a,6,14:15:22,42 days,8bace090,w21zt,chinese,4.2,2,3.1999999999999997,"Eggs with Tomatoes Noodle 西红柿鸡蛋面, Cabbage Salads 凉拌包菜"
0228eead3d,w21zt,2820,f799b57a,6,15:51:50,84 days,8bace090,w21zt,chinese,4.8,2,3.1999999999999997,"Eggs with Tomatoes Noodle 西红柿鸡蛋面, Cabbage Salads 凉拌包菜"
0228eead3d,w21zt,2821,0f92945e,6,10:58:42,56 days,a24c2a8b,w21zt,thai,4.2,4,6.3999999999999995,"MS1. Classic Mee Siam, Kaya Butter Toast, Peanut Honey Toast..."
0228eead3d,w21zt,2822,b809d363,5,16:44:56,55 days,754360d9,w21zt,snacks,4.0,2,8.799999999999999,"Fried Bun, Whole Spring Plate"
022fab8714,w21zu,5382,e4a9b815,5,12:25:15,27 days,d01fc39a,w21zu,singaporean,4.5,1,2.8,Koo Kee Special Noodle 高记招牌面
022fab8714,w21zu,5383,dee11ee0,3,12:04:55,11 days,5ecf6318,w21zu,snacks,4.0,1,1.2,Mix and Match Dessert Bowl
022fab8714,w21zu,5384,5e9b737f,4,12:54:51,54 days,439fc303,w21zu,chinese,4.0,2,8.0,"R7. Chicken Cube Egg Fried Rice 香脆鸡丁蛋炒饭, R10. Chicken Cutlet Egg Fried Rice 卡啦鸡排蛋炒饭"
022fab8714,w21zu,5385,007c618f,1,19:11:38,9 days,3d06a477,w21zu,japanese,4.5,2,9.600000000000001,"Little San Sushi, Mega San Sushi"
022fab8714,w21zu,5386,39e21358,2,18:27:40,10 days,21c39190,w23bh,snacks,4.3,3,7.2,"Sambal Fish Fillet Rice 叁峇鱼片饭, Sambal Sotong Rice 叁峇苏东饭, Fried Mee Sua 炒面线"
023d0864ef,w21zd,6058,b00215d7,4,17:30:13,61 days,f88ffd2b,w21zd,american,4.0,1,4.0,Double Mushroom Swiss Meal
027862ef02,w21z8,8029,0f0a248f,0,20:56:32,43 days,98d044b4,w21z8,snacks,4.0,1,4.0,Strawberry Peach Cheezo
027862ef02,w21z8,8030,96b172e6,3,18:18:50,25 days,f88ffd2b,w21z8,american,4.0,1,2.4,Double FISH’N CRISP™
027862ef02,w23b1,8031,6a02d5e6,6,16:29:58,49 days,83db475b,w23b1,chinese,4.0,1,22.0,500-600g 500-600克
027862ef02,w23b1,8032,1af69f85,4,19:30:46,40 days,ba9bd29c,w23b1,chinese,4.0,1,6.8,虾枣 Homemade Prawn Roll (8pcs)
027862ef02,w23b1,8033,1af69f85,2,19:48:53,10 days,ba9bd29c,w23b1,chinese,3.8,2,7.2,"鱼肉米粉汤 Fish Meat Bee Hoon Soup, 三捞河粉 San Lau Hor Fun"
027862ef02,w23b1,8034,1af69f85,5,18:08:08,34 days,ba9bd29c,w23b1,chinese,3.7,3,9.6,"鱼肉米粉汤 Fish Meat Bee Hoon Soup, 咸鱼白米粉 Salted Fish Fried White Bee Hoon, Yee Mian 伊面"
0279fbe505,w21z3,4294,204ada60,4,18:09:21,26 days,24975bf7,w21z3,american,4.5,1,6.4,2 x McSpicy® Meal
0279fbe505,w21z3,4299,a87bf97e,1,17:01:54,86 days,d123f5d1,w21z3,snacks,4.0,1,2.8,Red Bull Passion Cooler 福气满满
028a29c216,w21zu,8565,610cb152,1,10:45:09,58 days,ed80ab6b,w21zg,italian,4.0,1,4.8,Classified Chicken (New)
028a29c216,w21zu,8566,beefafd0,0,20:15:29,71 days,1d649dcf,w21zu,italian,4.0,1,8.0,Sharing Bundle For 2 (U.P. 28.52)
028a29c216,w21zu,8567,a0a1b483,6,12:10:55,70 days,1702e037,w21zu,snacks,4.0,1,6.4,Three's a Crowd
028a29c216,w21zu,8568,23aed315,0,20:08:05,71 days,5daed5ee,w21zu,italian,5.0,1,7.2,Traditional Beef Bolognaise
028a29c216,w21zu,8569,a96b976e,4,19:50:39,54 days,a6e4fb3b,w21zu,snacks,4.0,2,4.8,"马来面 Mee Goreng, 马来米粉 Bee Hoon Goreng"
028a29c216,w21zu,8570,eb6d5dee,0,17:29:42,29 days,3ae5716f,w21zu,snacks,4.0,1,12.0,5 Pcs Chicken Buddy Meal
029a2f1d25,w23b1,5267,d6bd5ec5,5,20:41:17,27 days,19c61219,w23b1,indian,4.0,2,4.0,"Murtabak Chicken, Egg Prata"
029a2f1d25,w23b4,5268,f9eab8e0,6,18:15:25,56 days,bcda4aca,w23b4,snacks,3.8,2,8.4,"N010. Penang Char Kuey Teow Noodle 槟城炒粿条, A001. Spring Roll 小春卷"
02d9d32350,w21zf,6178,76d8da24,2,20:51:22,45 days,7e6343bb,w21zg,snacks,3.7,3,7.599999999999999,"Classic Soy Pudding 布丁原味, Grass Jelly Beancurd  豆花仙草, 20% Off Promo Bundle U.P. 15.60"
02f2cc46e1,w21zg,9426,ce501045,3,14:26:45,53 days,4779773f,w21zg,snacks,4.5,1,3.6,Caramel Ice Blended®
02f2cc46e1,w21zs,9427,61baa092,1,11:38:28,44 days,c59edb7d,w21zt,snacks,4.0,2,6.0,"Chicken Chop Rice, Salmon Fish Rice"
02f2cc46e1,w21zt,9428,26dfb340,0,15:28:53,29 days,6338d042,w21zs,turkish,3.5,4,3.6,"Kopi, Limau Ice, Teh O Limau Ice ( Ice Lemon Tea)..."
02f2cc46e1,w21zt,9429,7a15f57f,1,14:28:14,23 days,90e80b03,w21zt,malaysian,4.2,5,5.2,"Coffee Tarik, Teh Halia, Bandung..."
02f2cc46e1,w23b4,9431,0b4dae07,0,18:45:01,50 days,dbd82ff1,w23b1,snacks,4.5,1,9.6,8pc Chickenjoy Bucket Ala Carte
02f2cc46e1,w23b4,9432,2fcaa89a,3,11:48:37,60 days,11e0437b,w23b4,snacks,3.8,5,7.2,"Almond Cream Cheese Croissant, Mango Croffle, Egg Mayo Croissant..."
02f2cc46e1,w23b4,9433,ada25ff4,3,18:47:49,4 days,1bc87fc1,w23b4,american,3.5,1,2.8,2pc Chicken
02f2cc46e1,w23b4,9435,6a7ed6ad,6,09:27:17,63 days,2d554c2b,w23b4,snacks,3.5,4,10.799999999999999,"Sardine Curry Puff, ** Party Package B **, Popiah..."
02f2cc46e1,w23b4,9436,640e96be,2,17:38:28,87 days,76dbe82c,w23b4,snacks,4.0,2,14.799999999999999,"X7. Fries with Meat Sauce, Cheese and Mayo, F12. Without Sambal"
02f2cc46e1,w23b4,9437,af910717,4,17:09:20,19 days,033b8c7d,w23b4,indian,4.5,3,8.4,"Kuey Teow Goreng Ayam, Nasi Goreng Ayam, Mee Goreng Ayam"
0312e46c34,w21zu,12172,8159660f,1,19:59:48,86 days,9ff973ca,w23bh,thai,4.0,1,3.6,Thai Basil Tofu With Rice
032d61c762,w21zt,7702,88edc22b,6,21:00:57,84 days,0770dcac,w21zt,snacks,3.5,1,3.2,Love yu berry much!
032d61c762,w21zt,7703,cc27871b,3,12:14:17,4 days,e8661f66,w21zt,singaporean,4.0,1,5.6,Chicken Rice Combo Box A 白切鸡套餐A
032d61c762,w21zt,7704,6f08e654,3,11:08:06,60 days,b91069ce,w21zt,chinese,4.0,1,5.6,"108. Porridge with Minced Meat,Century Egg,Salted Egg & Egg 干贝三色蛋肉碎粥"
032d61c762,w21zt,7706,aa65eeb5,1,19:16:10,79 days,2b458b72,w21zt,snacks,4.5,1,5.2,Apple & Snow Pear Soup With Pork Rib清甜苹果雪梨汤
032d61c762,w21zt,7707,2dbc05bb,3,19:47:08,4 days,06bb4947,w21zt,malaysian,5.0,1,4.8,Nasi Lemak with Curry Chicken + 1 Selected Drink
032d61c762,w21zt,7708,e969c6a0,0,14:09:18,22 days,c271af1d,w21zt,asian,4.0,1,5.2,Combo Beef and Salmon
033a2dec15,w21zt,6353,6d98d0d6,6,09:24:10,63 days,45b7cc87,w21zt,snacks,4.0,1,8.8,Curry Chicken with Rice + Fried Bee Hoon + Ham and Cheese Sandwich
033a2dec15,w21zt,6354,2e747121,5,15:30:36,69 days,05093c71,w21zt,snacks,3.9,4,8.4,"Chocolate Swirl, Pain Au Chocolat, Matcha Almond Croissant..."
0351081e98,w21z7,7746,0288ef8f,4,11:56:04,47 days,63d3233b,w21zs,snacks,4.0,2,3.6,"Milk Tea, Chicken Curry Puff"
0351081e98,w23b1,7747,543be059,0,16:48:44,71 days,1d649dcf,w23b1,italian,4.0,1,20.0,2 Classic Pans
0351081e98,w23b4,7749,87fd2bf6,6,15:30:17,14 days,da7f2e1b,w23b5,snacks,4.0,3,4.800000000000001,"Cheng Tng, Kacang, Cendol"
0351081e98,w23b4,7750,b5f75175,1,16:32:59,51 days,06bb4947,w23b4,malaysian,5.0,1,4.8,Nasi Lemak Royale + 1 Selected Drink
0351081e98,w23b4,7751,23343cda,3,11:35:23,18 days,f88ffd2b,w23b4,american,3.2,2,5.6,"Hershey's Sundae Pie, Double BBQ Turkey Bacon Meal"
03550aca18,w21z8,11943,f4438a7b,2,10:49:09,80 days,e9a22353,w21z8,snacks,4.5,1,4.8,Calamari N Crispy Shrimp Fry (Ala Carte)
03550aca18,w21z8,11944,81da064f,1,17:56:35,79 days,3ae5716f,w21z8,snacks,4.5,1,5.6,Cheesy Zinger Double Down Meal
03550aca18,w21z8,11945,39c38ec4,6,13:23:39,42 days,ea0940bd,w21z8,snacks,4.2,2,6.800000000000001,"Chicken Cutlet, Truffle Fries"
035716cc81,w21z8,10176,5fbe55c5,5,17:38:19,83 days,788f82f6,w21z8,american,4.5,1,3.2,Buy 3 Get 1 Free Item
035767b9bf,w23b1,5334,39763e37,5,11:11:53,83 days,0f997eba,w23b1,chinese,3.5,2,8.0,"Shredded Meat With Century Egg Congee 皮蛋瘦肉丝粥, Dry 捞面"
035767b9bf,w23b1,5335,71eb5456,6,15:24:27,56 days,44e2b4d7,w23b1,snacks,3.8,3,6.8,"C12. Mango Coconut Snow Shake, C10. Signature Coconut SnowShake, A8. Lychee CocoCane"
035767b9bf,w23b1,5336,63958196,6,11:08:26,0 days,034c1e09,w23b1,italian,4.0,1,5.6,Laksa Seafood
035767b9bf,w23b1,5337,3fd81fff,6,14:07:44,35 days,6c529825,w23b1,snacks,4.0,1,2.4,Tea with Honey
035767b9bf,w23b1,5338,09092cfb,5,11:16:39,41 days,82885f95,w23b1,asian,3.7,3,10.8,"Egg Fried Rice With Seasoned Prawns, Egg Fried Rice With Seasoned Prawns, Egg Fried Rice With Braised Beef"
035767b9bf,w23b1,5339,b6cd653a,5,15:32:32,76 days,0baab236,w23b1,snacks,4.0,3,6.8,"Honey Oolong Tea Large, Yakult Green Tea Large, Milk Tea Large"
0385fb6167,w21z8,10928,548d2875,3,21:13:20,18 days,3ae5716f,w21z8,snacks,4.0,1,12.0,5 Pcs Chicken Buddy Meal
0385fb6167,w21z8,10929,a73646bb,2,13:52:06,59 days,7e6343bb,w21z8,snacks,4.1,5,6.3999999999999995,"Peanut Mini Rolls 迷你碎花生, Soy Beancurd 豆花原味, 2 Peanuts, 2 Red Beans, 2 Cheese  2花生,2红豆,2乳酪..."
0385fb6167,w21z8,10930,3ddf3258,1,12:09:01,65 days,94fcafef,w21z8,snacks,4.0,1,4.0,Set Meal
0385fb6167,w21z8,10931,2bb6f8e8,2,12:20:55,17 days,0b3a115c,w21z8,indian,4.0,2,4.8,"Fishball Noodle Set A (with whole fishcake), Coke"
0388eaf9d8,w21xx,8714,d1df0064,0,20:21:54,22 days,74970cb8,w21xx,asian,4.5,1,2.8,Spring Onion and Ginger Beef with Rice
039de28722,w21ze,9454,b539443c,3,16:35:33,32 days,04982b65,w21z7,chinese,3.5,1,4.0,N3. Beef Boat Noodle Deluxe
03a0969b97,w21zv,1243,52d90a7f,1,01:11:39,2 days,d6f1c2eb,w21zt,asian,4.0,2,5.6,"Cheese Takoyaki, Happiness Grill"
03b86cb680,w21z6,4395,ca4deaec,2,09:28:10,31 days,f88ffd2b,w21z7,american,4.1,4,13.6,"Chilli Crab Long Chicken Meal, Chilli Crab Long Chicken Meal, Chilli Crab Long Chicken..."
03b86cb680,w21z6,4398,a2b1352c,1,10:48:02,23 days,13af4f55,w21z7,thai,4.2,4,14.4,"R3. Kra Pao Basil Chicken with Rice, Y3. Crispy Chicken Rice with Tomyum Sauce, Y1. Tomyum Sauteed Chicken with Rice..."
03d32ff201,w21z8,69,98d7d51e,1,18:06:18,2 days,ee10e028,w21z8,malaysian,3.9,4,8.799999999999999,"Chappathi with Keema, Putu Pring, Chappathi with Dhall..."
03d32ff201,w21z8,70,98d7d51e,4,18:03:01,5 days,ee10e028,w21z8,malaysian,3.7,3,11.6,"Kacang &Nutella, Nasi Goreng Tomyam, Long John Mutton"
03d32ff201,w21z8,71,45d25ac9,3,21:33:57,18 days,5daed5ee,w21z8,italian,3.5,1,6.4,Bundle for 1
03d32ff201,w21z8,72,ff037abd,1,13:27:28,2 days,33c77912,w21z8,snacks,4.5,3,3.6,"Choc Pudding, Sugar Raised, Boston Kreme"
03d32ff201,w21z8,73,6f8f3430,0,16:52:58,1 days,db3e2f43,w21z8,snacks,4.0,1,1.6,2 Pc
03d32ff201,w21zs,74,2b5cfe51,3,17:36:28,88 days,013bde30,w21zs,malaysian,4.5,1,4.0,Mutton Mutabak
03d32ff201,w21zs,75,953a3653,3,11:25:26,25 days,eb14d735,w21ze,snacks,4.1,4,13.999999999999998,"Tex Supreme Burger Meal, 2pc Chicken Meal, 1pc Honey Butter Biscuit..."
03d32ff201,w21zs,76,0311bf94,1,15:37:41,51 days,d123f5d1,w21ze,snacks,4.5,1,1.6,CheezHO Jing Syuan Tea 
043b00619c,w21zg,9701,2b030691,3,20:19:14,81 days,b647e81a,w21zu,snacks,4.0,5,6.0,"(Cold) Almond Soymilk 杏仁豆浆, (Cold) Beancurd With Tapioca Cubes 芋头番薯粉圆豆花, Grass Jelly With Tapioca Cubes 仙草冻甜蜜组合..."
043b00619c,w21zg,9702,3f54e927,1,18:27:47,65 days,869363df,w21zg,chinese,4.8,3,9.600000000000001,"Orh Kee Hand-Made Fishball Noodles  手工鱼圆面, Orh Kee Hand-Made Fishball Noodles  手工鱼圆面, Orh Kee Hand-Made Fishball Noodles  手工鱼圆面"
046958a898,w21z6,8203,157846e6,4,16:27:48,5 days,76052e35,w21z6,italian,4.2,3,11.600000000000001,"Truffled Mac & Cheese, Wings, Coke"
046958a898,w21z6,8204,44d0b9ab,3,13:32:17,4 days,b31b1a91,w21z6,snacks,3.7,3,5.6,"Honey Butter French Toast, Yuan Yang Soft Bun, Curry Chicken Rice"
046958a898,w21z6,8205,71d9c793,1,19:11:52,58 days,803ea381,w21z6,snacks,3.2,6,14.4,"White Choc Macadamia, Cookies & Crème Cheesecake, Oh Smores..."
046958a898,w21z6,8206,71d9c793,0,18:46:42,64 days,803ea381,w21z6,snacks,3.6,7,15.199999999999998,"Red Velvet Crumble, PB Chocolate, White Choc Macadamia..."
046958a898,w21z6,8207,0e76fe1d,2,16:14:53,38 days,24975bf7,w21z6,american,4.0,1,7.2,Family Meal - Sau McGriddles with Egg + HM ChsB
046958a898,w21z6,8208,0e76fe1d,1,19:13:47,58 days,24975bf7,w21z6,american,3.5,1,6.0,2x Value Meal - McMuffin S EVM + McSpicy EVM
046958a898,w21z6,8209,0e76fe1d,4,13:17:49,33 days,24975bf7,w21z6,american,4.0,1,5.2,2x Value Meal - Sausage McGriddles with Egg
046958a898,w21z6,8210,c4db67da,4,13:45:22,26 days,4779773f,w21z6,snacks,4.0,3,12.8,"Chicken And Mushroom Spaghetti, Double Fudge Brownie Ice Blended, Sparkling - Passion Fruit"
046958a898,w21z6,8211,cb1fd5a1,5,12:09:55,55 days,e57c8769,w21z6,singaporean,3.5,1,0.8,Add Chicken Rice 加鸡饭
046958a898,w21z6,8212,e137ce87,2,15:25:49,73 days,1d649dcf,w21z6,italian,4.5,1,12.8,Sharing Bundle Plus (3-4 pax) (U.P. $49.40- 35% OFF)
046958a898,w21z6,8213,f7247120,3,20:40:39,67 days,89370eab,w21z6,snacks,4.0,1,2.4,Turkey Ham & Triple Cheese Toast
046958a898,w21z8,8214,e3d68389,2,22:15:49,52 days,885cd911,w21z8,snacks,4.0,1,11.6,Rocky Coco Crunch
0474ca23cf,w21zu,2466,1edc7fde,1,17:11:18,37 days,6d7e5575,w23bh,japanese,4.3,3,14.4,"Value for Money! Buddy Bento (1SalTer, 1OyaD, 1ChKrg, 2Cw), Chawanmushi, Kitsune"
0474ca23cf,w21zu,2467,0056ccbf,5,16:59:26,27 days,8b17f4e6,w21zu,snacks,4.5,1,4.0,b. Brownie Ala Mode Sundae
0474ca23cf,w21zu,2468,7e8372cc,0,17:09:03,71 days,47cba6b4,w21zu,singaporean,3.9,4,12.799999999999999,"Curry Chicken Noodle 咖喱鸡面, Rice, Cuttlefish Bean Sprout  鱿鱼豆芽..."
0474ca23cf,w21zu,2469,8a0e1ff2,0,15:40:45,71 days,7e6343bb,w21zu,snacks,3.8,4,9.2,"20% Off Promo Bundle U.P. 15.60, Peanut Mini Rolls 迷你碎花生, Dark Chocolate Soy Freeze 黑巧克力豆浆搅冰..."
0474ca23cf,w21zu,2470,e6df5ac2,3,18:26:52,74 days,caa466ba,w21zu,snacks,4.0,1,2.0,Mango Ice Blended
0474ca23cf,w21zu,2471,e6df5ac2,1,14:33:08,16 days,caa466ba,w21zu,snacks,4.0,2,3.6,"Lychee Oolong Tea, Mango Ice Blended"
0474ca23cf,w21zu,2472,ebcb1490,2,17:39:07,10 days,96f2c011,w21zu,snacks,4.0,1,1.6,Chocolate Iced with Sprinkles
0474ca23cf,w21zu,2473,1caca2a8,3,17:31:04,18 days,472983a6,w21zu,chinese,4.2,3,22.0,"Hot Plate Bean Curd 铁板豆腐, Rice (白饭), 2 Pax 2人份"
0474ca23cf,w21zu,2474,0b5f249c,3,14:10:57,88 days,313fefcc,w23bh,snacks,3.5,2,4.3999999999999995,"Caramel Milk Tea Medium, Hazelnut Milk Tea Large"
0474ca23cf,w21zu,2475,0b5f249c,4,13:41:15,75 days,313fefcc,w23bh,snacks,4.2,2,4.0,"Caramel Milk Tea Medium, Hazelnut Milk Tea Medium"
04753ab2be,w21z6,1642,217b9cb9,6,15:21:11,7 days,0baab236,w21z6,snacks,4.5,1,2.4,Hazelnut Milk Tea Large
04753ab2be,w21z6,1643,40ae3eb1,6,17:29:14,28 days,9a2728c5,w21z6,indian,4.1,5,5.6,"Plain Prata, Masala Thosai, Teh Halia..."
0476acdbe9,w21z7,10690,dfe78f69,0,13:59:50,57 days,7e497d4d,w21z7,indian,4.0,1,1.6,Butter Naan
04ba07c1e6,w21z6,3424,4b7c85d3,6,11:37:10,7 days,7fc7fe39,w21z7,snacks,4.1,4,18.8,"OL1 Orh Luak, RC3 Stone Pot Seaweed Beancurd Slices Rice, S25. Handmade Dumpling Soup..."
04be27057a,w21zg,9114,b255c75b,4,19:04:30,40 days,0baab236,w21ze,snacks,4.0,2,4.0,"Peach Green Tea Medium, Honey Green Tea Large"
04be27057a,w21zg,9115,b08a3883,5,19:50:12,41 days,71887d80,w21zg,snacks,4.0,1,1.6,Peach Green Tea
04cde37357,w21zu,1964,38f00c9d,4,18:19:23,40 days,dd1e8393,w21zu,japanese,4.2,2,8.8,"(1 for 1) 10.Fish Fillet + Teriyaki Chicken Bento 炸鱼柳+照烧鸡扒饭盒, 5.Teriyaki Chicken + Yakitori Bento 照烧鸡扒+鸡肉串烧"
04cde37357,w21zu,1965,7b8b5f20,5,19:53:53,34 days,38698070,w21zu,chinese,4.5,1,2.8,NA28D. Chili Ban Mian
04cde37357,w21zu,1966,007c618f,5,18:45:18,27 days,3d06a477,w21zu,japanese,4.0,2,10.4,"Mega San Sushi, Mega San Salad"
04cde37357,w21zu,1967,9fdda4c0,6,15:14:35,7 days,6a08b926,w21zu,snacks,3.8,2,4.0,"Black Glutinous Rice, Avocado Gula Melaka"
04cde37357,w21zu,1968,9fdda4c0,3,13:06:45,18 days,6a08b926,w21zu,snacks,4.0,1,2.4,Avocado Gula Melaka
04cfbab866,w21zc,10783,3c7d45f4,1,16:23:04,30 days,6757b3f8,w21zc,singaporean,5.0,1,2.4,Curry Chicken
04cfbab866,w21ze,10784,708e6c16,3,12:40:57,32 days,dbd82ff1,w21zs,snacks,4.0,1,3.2,2pc Chickenjoy VM
04ece82835,w21zb,1563,594c257f,4,18:13:02,68 days,2b2906d9,w21zb,snacks,4.2,4,13.2,"Fried Half Chicken Rice, Roasted Wing Rice, Lamb Chop..."
04ece82835,w21zb,1564,594c257f,6,15:44:10,0 days,2b2906d9,w21zb,snacks,4.2,2,4.3999999999999995,"Honey Chicken Rice, Roasted Wing Rice"
04ece82835,w21zb,1565,22044862,1,19:32:24,37 days,5ea744aa,w21zc,snacks,3.8,2,7.2,"Nutella Falls Martabak Manis, Og Original Martabak Manis"
04ece82835,w21zb,1566,a03e7c75,2,14:42:39,38 days,3a80df02,w21zc,indonesian,4.0,1,4.0,Ayam Sambal Balado
04ece82835,w21zb,1567,1c464974,6,10:33:30,42 days,62aa80a8,w21zc,indonesian,3.7,3,11.2,"Grilled Chicken Meal, Ayam Penyet Meal, Beef Balls Soup"
04ece82835,w21zb,1568,10099f35,5,11:59:55,13 days,ed80ab6b,w21zb,italian,4.0,2,16.8,"Ondeh-ondeh Lava Cake, Cheese Xplosion Pizza"
04ece82835,w21zb,1569,08d8be42,5,21:05:50,62 days,885cd911,w21zc,snacks,4.0,1,4.8,Bundle of 3 Slice Cake
04ece82835,w21zb,1570,b14313f3,1,20:28:01,72 days,d3ebdfff,w21zc,japanese,4.0,1,7.6,Torigo Feast
04ece82835,w21zb,1571,b14313f3,1,17:36:18,16 days,d3ebdfff,w21zc,japanese,4.5,1,1.6,Potato Salad
04ece82835,w21zb,1572,411830da,3,17:50:52,81 days,000b5aa6,w21zb,snacks,3.5,1,2.0,Pearly Taro
