vendor_id,name
519e6e17,Black Pepper Chicken Chop
519e6e17,Char Grilled Salmon Steak
519e6e17,Cheese Sausage with Fried Rice
519e6e17,Fresh Shiitake Mushroom Soup
84f4928c,(01-76) Carrot Cake White
84f4928c,(01-66) Red Bean Soup
72a40f05,Cold
71974d18,White Rice 饭
71974d18,Egg 鸡蛋
71974d18,Chilli Lala 辣椒啦啦
71974d18,Curry Fish Head 咖喱鱼头
803df86d,Popiah Prawn
803df86d,Laksa (Clams)
803df86d,Nasi Lemak Set 1
803df86d,Nasi Lemak Set 3
803df86d,Nasi Lemak Set 6
803df86d,Chicken Wing
803df86d,Nasi Lemak Set 2
35375faf,Fried Wanton 炸云吞
35375faf,Wanton Noodle  云吞面 
35375faf,Barley with Gingko Nuts 白果薏米
35375faf,Wanton Soup 云吞汤  
35375faf,Ampang Yong Tau Foo 安邦釀豆腐
09092cfb,Egg Fried Rice
eb6de787,Nasi Briyani Chicken
128164b0,Regular
e824adfa,C201 Mango Salad
0bdae2f1,Plain Thosai
0bdae2f1,Egg Thosai
53ba1ca2,Egg Thosai
53ba1ca2,Plain Thosai
53ba1ca2,Egg Onion Cheese Prata
53ba1ca2,Special Milk Paper Prata
98d7d51e,Chappathi with Keema
98d7d51e,Putu Pring
98d7d51e,Chappathi with Dhall
98d7d51e,Kacang
98d7d51e,Kacang &Nutella
98d7d51e,Nasi Goreng Tomyam
98d7d51e,Long John Mutton
45d25ac9,Bundle for 1
ff037abd,Choc Pudding
ff037abd,Sugar Raised
ff037abd,Boston Kreme
6f8f3430,2 Pc
2b5cfe51,Mutton Mutabak
953a3653,Tex Supreme Burger Meal
953a3653,2pc Chicken Meal
953a3653,1pc Honey Butter Biscuit
0311bf94,CheezHO Jing Syuan Tea 
67cd404d,Pork & Shrimp Dumplings In Hot & Spicy Scallion Noodle 红油抄手葱拌面
b44f5b7b,Chicken Tikka Meal
0fbfd8bd,Mini California
0fbfd8bd,Unagi Handroll
0fbfd8bd,Jyo Unagi Sushi
0fbfd8bd,Spicy Maguro Sushi
9afeba73,Handmade Oyster Mee Sua Value Set
68723f11,Ayam Penyet (Smashed Fried Chicken)
68723f11,Ayam Penyet - With Steamed Rice
f8d501ef,Mega San Salad
3deb2ddf,2 pcs Chicken Meal
2a0334da,"D29. Strawberry, Pineapple, Apple & Grapes"
2a0334da,Mix Fruits Cup
2a0334da,Green Apple Juice
2a0334da,"D11. Pineapple, Kiwi, Red Dragon Fruit & Red Apple"
b809d363,Cheese Dip
b809d363,Coleslaw
b809d363,Onion Rings
e7df2969,NasiGO™
e7df2969,Balanced Diet Set
e7df2969,GadoMie™
cdf94012,Homemade Ice Lemon Tea
df378cfe,CR01. Chicken Rice
df378cfe,SM06. Sweet & Sour Fish With Fried Rice
1eb39e13,Chicken Macaroni
1eb39e13,Roasted Chicken Rice
1eb39e13,Shredded Chicken Porridge
1eb39e13,Chicken Char Siew Noodle
c702a49c,TN35. Mee Hong Kong
c702a49c,TS08. Tom Yam Sup Campur
c702a49c,NI129. Mutton Dum Briyani
c702a49c,MW06. Fish & Chips
56b5d714,Enchanted Blackforest Ice Cream Cake
4da04f82,C5. Chicken Drumstick Rice
4da04f82,C10. Fragrant Rice
4da04f82,C1. Roasted Chicken Rice
4da04f82,V7. Liver
4da04f82,V4. Gizzard
4da04f82,V5. Tofu
4da04f82,V1. Oyster Sauce Vegetable
464ea214,Beef Shabu-shabu Omelette Curry
b0fc52a7,Triple Kaya Dip
b0fc52a7,Teriyaki Beef With Egg Toast
b0fc52a7,Lemongrass
0b43cf1b,Signature Prawn Vadai
0b43cf1b,Ikan Bilis Vadai
0b43cf1b,Quail Egg Mini Vadai
0b43cf1b,Crab Mini Vadai
0b43cf1b,Samosa
0b43cf1b,Chicken Mini Vadai
d8fc0241,Chilli Crab Wedges
77a47e6a,105. Tofu Bean Curd with Mini Matcha & Sesame Ball
77a47e6a,508. Passion Fruit Green Tea
77a47e6a,101. Blackball Signature Dessert
b44aac4f,Chicken & Shrimp Lemak Chilli Padang
b44aac4f,10oz Clam Chowder
b44aac4f,Pandan Churros with Gula Melaka dip
0ae2ea2b,Mie Goreng Ayam Special
949e556e,Pandan Leaf Chicken (4Pcs)
949e556e,Pad See Eiw
949e556e,Deep-Fried Chicken Wings (6Pcs)
73b73aa2,R1 Thai Crispy Chicken with Rice
73b73aa2,C1 Original Wings and Drumettes
73b73aa2,Y5 Saap Saap Crispy Chicken Wings with Rice
4728f583,Kway Teow Soup (Small)
4728f583,Roasted Chicken Rice
4728f583,Kampong Fried Rice
09c1fc80,Salted Bun 咸煎饼
09c1fc80,Choc Chip Muffin 巧克力松糕
09c1fc80,Strawberry Muffin 草莓松糕
09c1fc80,(Hot) Azuki Gula Malacca Curd With Tapioca Cubes 红豆椰糖粉圆豆花
a52fb606,Prosperity Beef Meal
c56e9af4,Curry Chicken with Rice Set
54748e9c,Create Your Own Specials
9dcc6cea,1202. Mango Sticky Rice
9dcc6cea,305. Clear Tom Yam Seafood Soup
fe8983f6,32. Century Egg Pork Porridge 皮蛋瘦肉粥
fe8983f6,28. Chee Cheong Fun Prawn 猪肠粉-虾
fe8983f6,26. Fried Carrot Cake 萝卜糕
fe8983f6,31. Steamed Pork Ribs 排骨
fe8983f6,19. Fried Prawn Dumpling 明虾饺
fe8983f6,10. Prawn Dumpling 虾饺
a0c6d353,Ayam Bakar Set
845325cf,Egg Fried Rice With Grilled Chicken
c15377b0,Ayam Cabe Ijo - With Steamed Rice
c15377b0,Ayam Penyet - With Steamed Rice
c15377b0,Gado-Gado
c15377b0,Ayam Bakar - With Steamed White Rice
c15377b0,Tahu Telor
7ed1c75f,Fresh Lemon Juice Large
7ed1c75f,Honey Lemon Lime Juice Large
7ed1c75f,Hazelnut Milk Tea Large
7ed1c75f,Ovaltine Large
87da5301,Beef Stewed Noodle
87da5301,Lanzhou Tom Yum Beef Noodle
186a2d60,Chilli Packet
186a2d60,Whole Spring Plate
186a2d60,1/2 Spring Plate
cf29d429,Indo Chinese Vegetable Combo
6c991c7b,Nasi Lemak with Chicken Otah Meatloaf
6c991c7b,Sambal Long Beans
3b766fda,Any 5 Buns Bundle
3b766fda,Floss Thick Toast
0bbcf7f7,Xinzhou Bee Hoon 星洲米粉
0bbcf7f7,Hor Fun with Egg Gravy 滑蛋河粉
328b7265,312. Yam Paste 芋泥
328b7265,318. Double Skin Milk 双皮奶
328b7265,306. Almond Paste with Glutinous Rice 杏仁糊黑糯米
328b7265,313. Barley Beanstick with Gingko 腐竹白果薏米
8b9c4653,Mutton Biryani
8b9c4653,Garlic Naan
8b9c4653,Ice Limau
8b9c4653,Nasi Goreng Combo
a69e8921,Signature Bak Chor Mee Pok 肉脞面
a69e8921,Bak Chor Soup
ccd17033,Red Ruby
ccd17033,Signature Original Coconut Shake
45c5df47,Mee Rebus
45c5df47,Hot
45c5df47,SET RICE BRAISED PORK WITH MEI CAI
02fedef1,Fried Kuey Teow Kerang
4818b096,Salted Egg Chicken
1bf57544,43. Baked Chicken Wing 烤烤翅
1bf57544,31. Cheese Fries 奶酪薯条
1bf57544,03. With 2 Sides (200g)
a1e484f3,Baked Beefballs - Creamy Alfredo Sauce
f0db3ca8,A19. Curry Chicken Rice
0c64417e,Black Pepper Beef Bento
0c64417e,Dried Chili Chicken Bento
23aed315,Exclusive for foodpanda: Personal Pizza Bundle (2pax)
23aed315,Calamari Rings
23aed315,Garlic Bread
23aed315,Fries on Dips
cc11e4e0,Floss Thick Toast
cc11e4e0,Ham & Cheese Sandwich Set
c64aa36a,Mirchi Ka Salan
c64aa36a,Bombay-vada Pav Slider
c64aa36a,Desi Tacos Vegetarian
c64aa36a,Mural's Briyani Dum Pot
c64aa36a,Mixed Vegetable Raita
2f68c4e3,Wanton Noodle (Dry)  云吞面
2f68c4e3,Wanton Soup (6pcs) 云吞汤  (6粒)
46baf6a2,G4  La Mian with Prawn and Pork Wanton in Signature Pork Bone Soup 鲜虾猪肉云吞猪骨汤拉面
46baf6a2,G12 La Mian in Szechuan Hot and Sour with Seafood (Spicy) 酸辣海鲜汤拉面（辣）
46baf6a2,G6 La Mian served with Double-boiled Chicken Soup 清炖鸡汤拉面
46baf6a2,C5 Prawn and Pork Wanton in Signature Pork Bone Soup (6pc) 鲜虾猪肉云吞猪骨汤（六粒）
46baf6a2,F5 Fried Rice in Yang Zhou Style 扬州炒饭
46baf6a2,B10 Prawn and Pork Dumpling in Hot Chilli Vinaigrette (6pc) 红油鲜虾猪肉抄手（六粒）
46baf6a2,F8 Fried Rice with Crispy Pork Chop 香酥猪扒炒饭
46baf6a2,G2 La Mian with Crispy Pork Chop in Signature Pork Bone Soup 香酥猪扒猪骨汤拉面
96b172e6,BK Veggie
96b172e6,BK Veggie Meal
1f05f5fd,Paratha Set Meal
6695cf33,Viennese Blend Retail
7344ee6f,Large
b44fbc46,Chicken Cutlet Noodle鸡扒面
b44fbc46,Chicken Cutlet Curry Rice鸡排咖喱饭
fb74af4b,Mala Xiang Guo Spicy Pot 麻辣香锅
fb74af4b,Rice 米饭
8e32d045,罗勒猪肉饭 Basil Pork Rice
3a813d9f,(01-85) Basil Chicken /Beef with Rice
3a813d9f,(01-85) Pineapple Fried Rice
046eb2cc,Normal
7f8185c6,Plain Prata
7f8185c6,Iced Bandung
7f8185c6,Egg Prata
7f8185c6,Mee Goreng Combo
7f8185c6,Roti John Chicken 
11851ce1,Heaven & Earth Jasmine Green Tea (1.5L)
11851ce1,Cinnastix
afda4fe1,032. Fried Calamari
afda4fe1,024. Fries with Cheese Sauce
afda4fe1,002. Half
afda4fe1,022. Chicken Chop Rice
124756ae,Egg Prata
124756ae,Plain Prata
124756ae,Roti John Chicken
9e2e7300,8.Mini Steamboat Sliced Fish Soup W Rice
654cdcf9,Peachy
654cdcf9,Green Apple Green Tea
6db965aa,Ice Kacang 红豆冰
6db965aa,Iced Jelly Soursop 红毛榴莲文头雪 
6db965aa,Cheng Tng 清汤
6db965aa,Mango Sago Pomelo 杨枝甘露
6db965aa,红豆冰 Ice Kacang
6db965aa,红毛榴莲蝌蚪 Soursop Tadpole
6db965aa,红毛榴莲文头雪 Ice Jelly Soursop
6db965aa,杨枝甘露 Mango Sago with Pomelo
a3c265de,Peachy
3b71dda0,Pumpkin Rice 金瓜饭
3b71dda0,Apple & Pear with Pork Ribs Soup 苹果雪梨西施骨汤
3b71dda0,Mummy ABC Soup 经典ABC汤
e2ce26df,F4. Spaghetti Bolognese
e2ce26df,F8. Grilled Fish Pasta
29945870,Prosperity Abalone Yu Sheng 鲍鱼鱼生 (6 Pax)
af0796a3,2x Value Meal - Sausage McGriddles with Egg
71eb5456,S1. 100% Pure Sugarcane Juice
aa9416d6,Ice Bandung
aa9416d6,Set C (6 Pax)
46fce27b,Store-selected Half Dozen
5d73612d,Taro White Pearls Milk Tea
5d73612d,Ice Cream Cocoa Lover Milk Tea
5d73612d,Avocado Paradise
86be287c,Cupcake (Nutella Speculoos)
86be287c,Cupcake (Red Velvet)
86be287c,Cupcake (Kinder Bueno)
86be287c,Cupcake (Red Velvet Nutella)
d8962379,28. Lamb Chop
d8962379,4. Lucky Plate
d8962379,23. Grilled Fish Aglio Olio
32339a6e,B2. Butter Naan
32339a6e,H6. Masala Thosai
32339a6e,C2. Butter Chicken
32339a6e,B5. Cheese Naan
32339a6e,C27. Paneer Butter Masala
17e14bbe,2x Value Meal: Breakfast Deluxe + SME EVM
1561ce72,Lamb Steak
1561ce72,Chicken Chop
46709d0b,Chicken Set Meal
46709d0b,Nasi Goreng Ikan Bilis
2bf3b5c0,Roti John Mutton
2bf3b5c0,Nasi Goreng with Ikan Bilis
2bf3b5c0,Set Meal 1
9020b0d4,G8. Mutton Soup with Plain Rice
4d2788e3,Mee Rebus
4d2788e3,Chicken Wing
4d2788e3,Laksa (Prawns)
4d2788e3,Popiah Prawn
db3337ad,Chee Cheong Fun
db3337ad,Soon Kueh
db3337ad,Chee Cheong Fun & Soon Kueh
27d188ef,Roasted Chicken Rice
27d188ef,Oyster Sauce Vegetable 蚝油蔬菜
f0db3ca8,A13. Kampung Fried Rice
f0db3ca8,B1. Crispy Noodle
f0db3ca8,A17. Sweet & Sour Chicken Rice
f0db3ca8,B5. Hor Fun
d7cb1823,Falafel (Vegetarian)
8d90aa2b,Spanish Tuna Loin & Tomato Salad
8d90aa2b,Squid Ink Paella
8d90aa2b,Octopus Galician Style
7556d120,20 Pieces Classic Wings
f5b35235,Fried Wanton
f5b35235,Chicken Rice
72daed7d,Soda Gembira
72daed7d,Ayam Penyet - With Steamed Rice
be9d5107,Masala Thosai
be9d5107,Teh Ice
be9d5107,Teh-O-Ice
be9d5107,Plain Thosai
be9d5107,Dum Biryani Chicken
487e1f0d,Teh O Iced
487e1f0d,Teh Iced
334ad40d,Chicken Briyani W / Fry Sambal
b12394dc,C712 Pad Thai Noodle with Prawn
b12394dc,C901 Iced Thai Milk Tea
b12394dc,C101 Deep-fried Tofu with Thai Chilli Sauce 炸豆腐配泰式辣椒酱.
b12394dc,C207 Clear Tom Yum Seafood Soup
c64b45ea,Mala Potato 麻辣土豆
c64b45ea,Spicy Ear Flap 脆辣猪耳尖
c64b45ea,Mala Cuttlefish 麻辣鱿鱼须
c64b45ea,Mala Bean Curd Sheet 麻辣豆皮
c64b45ea,Mala Quail Egg 麻辣鹌鹑蛋
c64b45ea,Braised Duck Neck 卤香鸭脖
c64b45ea,Mala Bean Curd Skin 麻辣腐竹
c64b45ea,Mala Kelp 麻辣海带结
c64b45ea,Mala Wingette 麻辣鸡中翅
c64b45ea,Mala Beef Tripe 麻辣牛百叶
c869579a,Volcano Ramen
c869579a,Ajisen Ramen
c869579a,Nankotsu Ramen
76db5aa1,Prosperity Beef Feast
e902fb76,Quorn® Japanese Curry Wholegrain Mixed Rice Bowl
e902fb76,WHOLEMEAL Kaya Cheese Pancake
e902fb76,3 in 1 Riceballs
e181d76e,Oyster Sauce Small Cabbage 小白菜
e181d76e,Yam Rice 芋头饭
e181d76e,Steamed Egg Tofu 蛋闷豆腐
e181d76e,Mushroom Fish Maw Chicken Soup 佛跳墙
66cbe93a,Vegetable of The Day
66cbe93a,Mutton Dum Briyani
f0a35397,Kway Chap  粿汁
f0a35397,Kway Chap Set (1 Pax  粿汁套餐 一人)
b278c501,Laksa Yong Tau Foo
7b437788,Fry Lettuce
7b437788,Signature Rice Noodle 招牌过桥米线
54b758c4,Set A
5a08d4cc,5 Pcs (Bowl) No Separation Of Sauce
53159630,Thai Green Curry
3333c757,"Hor Fun with Pork, Prawn & Fish"
e969c6a0,Miso Soup 
e969c6a0,Combo Beef and Salmon
25dc82fa,3 Pax Bundle
d566dc7e,Tori Karaage Kushi (TA)
d566dc7e,Pork Belly Kushi
d566dc7e,Enoki Mushroom Wrapped with Pork Belly Kushi
1372e9ec,262. Stir-Fried Noodle with Bean Sprout and Soy Sauce
fc1cb14b,Jumbo Beef Pepper Rice
681868b7,Kimly Claypot Curry Fish Head 金味咖喱鱼头
7921bb17,Cheesy Zinger Double Down Meal
7921bb17,Original Recipe Chicken
594a4188,Nasi Lemak with Chicken Cutlet + 1 Selected Drink
8d738169,Fried Bun
8d738169,Whole Spring Plate
97c72a91,Medium Spicy 中辣
893c3938,Steamed Rice
3a14cdf5,Penne Beef Bolognese
06b4bc97,Plain Prata
06b4bc97,Mee Goreng
3bd549eb,Roasted Duck Roasted Char Siew Set Meal 烧鸭叉烧套餐
ba83ddec,XXL Crispy Chicken
ba83ddec,Handmade Oyster Mee Sua Value Set
3d290be9,Spam Fries午餐肉薯条
3d290be9,Bulgogi Rice 韩式烤肉饭
72517a38,Small
5a109cb9,Signature Grilled Chicken Chop + 1/2 Slab Signature Roasted BBQ Ribs Meal for 2
59df7809,GK106. Kani Salad Gunkan
59df7809,GK112. Corn Gunkan
59df7809,YK104. Hotate Tobimayo
6137ef21,2 x Spicy Chicken McNuggets® (9pc) Special
6137ef21,Chocolate Pie
6137ef21,McGriddles Feast
6137ef21,Spicy Chicken McNuggets® (9pc) Special
fdc228d0,White Pepper with Pig’s Stomach Soup ⽩胡椒猪肚汤
fdc228d0,Buddha Jump Over the Wall Soup 迷你佛跳墙
4ae30f2a,Finger Food Platter
4ae30f2a,French Fries
aaa44d7f,Signature Kaya Pandan Muffin
aaa44d7f,Kaya Balls
aaa44d7f,Banana Walnut Muffin Set
aaa44d7f,Banana Walnut Muffin
aaa44d7f,Kaya Toast with Peanut
cfee45b5,2 Pcs Fried Chicken Meal
681868b7,"S4. Singapore Bee Hoon, Prawn Paste Wings, Sunny Egg 星州米粉+虾酱鸡+荷包蛋  FOC 1x Canned Drink 附送1个罐装水"
76022fed,Hazelnut Mee Chiang Kueh
76022fed,Grass Jelly Soy 仙草豆浆
76022fed,Red Bean Mini Rolls 迷你红豆沙
76022fed,Peanut Mini Rolls 迷你碎花生
76022fed,Peanut Mee Chiang Kueh 花生面煎糕
76022fed,Chewy Pearls Soy 珍珠豆浆
76022fed,Chocolate Fudge Maru 煎糕巧克力
76022fed,Gula Melaka Beancurd 豆花椰糖
dd7fbef8,Popcorn Shrimp
68252ce5,Deep-fried Spring Rolls 
68252ce5,51. Thai Omelette with Prawn
68252ce5,53. Fried Egg
6f767e09,Oil Rice 油饭
6f767e09,Chicken Gizzard 鸡内脏
6f767e09,Half 半只
cb9db2d9,Cheesy Fried Wanton 芝士炸云吞
cb9db2d9,Wanton Noodle Dry+6Pcs  Wanton Soup
cb9db2d9,Fried Wanton  炸云吞
cb9db2d9,云吞面干+6粒炸云吞
3b766fda,Iced Kopi Melaka (Large)
3b766fda,2 Ham & Cheese Sandwich Set + 2 Sides
3b766fda,Bak Kwa Fried Rice Set
3b766fda,Traditional Kaya Toast
3b766fda,Golden Yam Cake Set
3b766fda,Kaya Thick Toast
3b766fda,Golden Yam Cake
2963715e,Crispy Pan Seared Salmon
2963715e,Chicken Confit Ramen
1ec6663e,Tuna Pancake
1ec6663e,Ginger Soup  Beancurd with Riceballs
1ec6663e,Cheese Pancake
96f16ff8,Garlic Aioli Impossible
938a9637,3pc Tenders Meal
c533dfee,5. Kimchi Fried Rice
c533dfee,21. Kimchi Pancake
785401d4,Simply Chocolate
9f67623a,McGriddles Feast
46aabb47,Seollueong Tang
46aabb47,La Galbi Set
8c373c89,Mushroom Cheese Prata
ff4e9f74,1/2 Ltr with 3 Toppings
ff4e9f74,Ambrosia Smoothie
5ae908fa,M14. Scallop Porridge 金银带子粥
5ae908fa,M6. Sliced Lean Meat & Century Egg Porridge 皮蛋瘦肉粥
a9d9c42d,Tandoori Chicken & Naan Set
a9d9c42d,Plain Naan
a9d9c42d,Tea with Iced
a9d9c42d,Tea O
721a0440,Madura's Special Curd Rice
09603090,Make Your Own Set 自己设定
07f3661f,Pork & Chicken Set (200g)
07f3661f,Mini Choregi Salad
50e06f9d,Begedil 炸马铃薯饼
50e06f9d,Ayam Penyet 印尼炸鸡
5f2b69cd,Fried Rice With Signature Crab Meat 招牌蟹肉炒饭
5f2b69cd,Seafood Stir-Fried Mee Sua 海鲜干炒面线
f9f55c2f,You Mee Soup 幼面汤
f9f55c2f,Chicken Porridge 鸡丝粥
f9f55c2f,Yi Mian Soup 伊面汤
f9f55c2f,Mee Hoon Kuey Soup 面粉粿汤
c435e0c8,Fried Salmon with Special Sauce & Rice Set
c435e0c8,Dolsol Bibimbap Chicken
c435e0c8,Kimchi Fried Rice
563da152,22.Chicken Curry Rice 鸡扒咖喱饭 
563da152,12.Ebi Fried + Teriyaki Chicken Bento 炸虾+照烧鸡扒饭盒 
563da152,25.Oyako Don 亲子丼 
deca3e70,Black Pepper Chicken & Ham Fried Udon
deca3e70,Tempura Prawn
68a8c3a7,GF02. Flame Grilled Chicken With Black Pepper Sauce
68a8c3a7,B06. Monster Beef Burger
68a8c3a7,B01. Tartar Fish Burger
edd6cac1,Fried Beef Bee Hoon 炒牛肉米粉
edd6cac1,Mui Fan
edd6cac1,Blackbeans Beef Hor Fun 黑豆牛肉河粉
edd6cac1,Sweet & Sour Pork Rice 甜酸古咯肉饭
edd6cac1,Fried Beef Noodles 炒牛肉面
edd6cac1,Mixed Hor Fun 河粉
40c99d65,Double Cooked Meat With Rice 回锅肉盖饭
40c99d65,Ding Ding Fried Noodles 丁丁炒面
40c99d65,Fried Dumplings 锅贴
40c99d65,Tomato Egg Dry Noodles 番茄鸡蛋拌面
40c99d65,Hot & Spicy Noodles 酸辣粉
40c99d65,Rice 白饭
40c99d65,Dry 干
367da5e9,Roast Chix Rice
367da5e9,Roast Chix Drumstick Rice
a63b419f,Basil Minced Chicken with Rice 九层塔鸡肉碎饭
a63b419f,Saveur Thai Fried Rice with Prawn 招牌虾仁炒饭
a63b419f,Pandan Chicken (4 pcs) 斑兰鸡 (4个)
a63b419f,Chicken Phad Thai 鸡肉泰式炒粿条
ae029814,Cumin Beef 孜然牛肉
ae029814,Dumplings 10pc 水饺 (10 立)
ae029814,Broccoli Stir-fried Prawn Dish 西兰花虾球
ae029814,White Rice 白米饭
ae029814,Ma La Xiang Guo 麻辣香锅
84f4928c,"(01-52) Bee Hoon Set Chicken Wing, Ngoh Hiang, Luncheon Meat, Fried Egg"
84f4928c,(01-68) Youtiao 3pcs
5ac47beb,23. Special Dairy Salted Buns
5ac47beb,35. Sausage Chicken Rice
5ac47beb,41. Delicious Scallop Congee
5ac47beb,46. Sesame Mango Shrimp Rolls
5ac47beb,9. Shrimp Dumplings
a3bc472c,Chicken Nuggets (5 Pcs)
a3bc472c,Garlic Toast (1 Pc)
a3bc472c,Served without Fries
3b132295,Swensen's Impossible Burger
de18b671,Turkey Ham with Egg CROISSAN'WICH® 
de18b671,Pancakes Platter 
de18b671,Turkey Sausage with Egg CROISSAN'WICH® Meal
b7c1f630,4. Bee Hoon Soup (米粉汤)
b7c1f630,2. Koo Kee Special Noodle (高记招牌面)
b7c1f630,1. Thai Style Fried Bean Curd 泰式风味炸豆腐 (泰式辣椒)
b7c1f630,5. Yong Tow Foo Soup (酿豆腐汤)
f6870b90,3 in 1 Riceballs
f6870b90,Cheese Pancake
06912933,Curry Chicken with Rice + Fried Bee Hoon + Ham and Cheese Sandwich
54ca033d,67. Triple Cup Chicken 三杯鸡
52823578,Buffalo Wings
52823578,The Philz
52823578,The Cowboy
52823578,The Impossible
52823578,The Aloha
cf9aee53,Pork Ribs Rice 排骨王饭
902f44dd,XXL Crispy Chicken
78f1dc2f,Ovaltine Large
78f1dc2f,Mango Four Seasons Tea Large
77784b70,Dory Porridge
08604104,Roasted Chicken Rice
81171b66,Mee Rebus Value Meal
